index,brand,model,chipset,vram,core_clock,boost_clock,color,length,price
340,Asus,GT740-2GD3,"GeForce GT 740","{'total': 2000000000}","{'cycles': 993000000}",NULL,"Black / Red",179,NULL
341,Asus,GT740-2GD3-CSM,"GeForce GT 740","{'total': 2000000000}","{'cycles': 993000000}",NULL,"Black / Red",180,NULL
342,Asus,GT740-OC-1GD5,"GeForce GT 740","{'total': 1000000000}","{'cycles': 1033000000}",NULL,"Black / Silver",NULL,NULL
343,Asus,GT740-OC-2GD5,"GeForce GT 740","{'total': 2000000000}","{'cycles': 1033000000}",NULL,Black,173,NULL
344,Asus,GTX1050TI-O4G-LP-BRK,"GeForce GTX 1050 Ti","{'total': 4000000000}","{'cycles': 1303000000}","{'cycles': 1442000000}",NULL,182,NULL
345,Asus,GTX650-DC-1GD5,"GeForce GTX 650","{'total': 1000000000}","{'cycles': 1058000000}",NULL,"Black / Red",245,NULL
346,Asus,GTX650-DCO-1GD5,"GeForce GTX 650","{'total': 1000000000}","{'cycles': 1137000000}",NULL,"Black / Red",245,NULL
347,Asus,GTX650-DCT-1GD5,"GeForce GTX 650","{'total': 1000000000}","{'cycles': 1215000000}",NULL,"Black / Red",245,NULL
348,Asus,GTX650-E-1GD5,"GeForce GTX 650","{'total': 1000000000}","{'cycles': 1071000000}",NULL,"Black / Red",197,NULL
349,Asus,GTX650-E-2GD5,"GeForce GTX 650","{'total': 2000000000}","{'cycles': 1071000000}",NULL,"Black / Red",197,NULL
350,Asus,GTX650TI-1GD5,"GeForce GTX 650 Ti","{'total': 1000000000}","{'cycles': 928000000}",NULL,"Black / Red",213,NULL
351,Asus,GTX650TI-DC2O-1GD5,"GeForce GTX 650 Ti","{'total': 1000000000}","{'cycles': 954000000}",NULL,"Black / Red",274,NULL
352,Asus,GTX650TI-O-1GD5,"GeForce GTX 650 Ti","{'total': 1000000000}","{'cycles': 980000000}",NULL,"Black / Red",213,NULL
353,Asus,GTX650TI-OC-2GD5,"GeForce GTX 650 Ti","{'total': 2000000000}","{'cycles': 980000000}",NULL,"Black / Red",226,NULL
354,Asus,"GTX650TIB-DC2OC-2GD5 BOOST","GeForce GTX 650 Ti Boost","{'total': 2000000000}","{'cycles': 1020000000}",NULL,"Black / Red",259,NULL
355,Asus,"GTX660 TI-DC2-2GD5","GeForce GTX 660 Ti","{'total': 2000000000}","{'cycles': 915000000}",NULL,"Black / Red",271,NULL
356,Asus,"GTX660 TI-DC2O-2GD5","GeForce GTX 660 Ti","{'total': 2000000000}","{'cycles': 1028000000}",NULL,"Black / Red",271,NULL
357,Asus,"GTX660 TI-DC2OC-3GD5","GeForce GTX 660 Ti","{'total': 3000000000}","{'cycles': 1006000000}",NULL,"Black / Red",210,NULL
358,Asus,"GTX660 TI-DC2OG-2GD5","GeForce GTX 660 Ti","{'total': 2000000000}","{'cycles': 1028000000}",NULL,"Black / Red",271,NULL
359,Asus,"GTX660 TI-DC2T-2GD5","GeForce GTX 660 Ti","{'total': 2000000000}","{'cycles': 1059000000}",NULL,"Black / Red",271,NULL
360,Asus,GTX660-DC2-2GD5,"GeForce GTX 660","{'total': 2000000000}","{'cycles': 980000000}",NULL,"Black / Red",259,NULL
361,Asus,GTX660-DC2O-2GD5,"GeForce GTX 660","{'total': 2000000000}","{'cycles': 1020000000}",NULL,"Black / Red",259,NULL
362,Asus,GTX660-DC2T-2GD5,"GeForce GTX 660","{'total': 2000000000}","{'cycles': 1072000000}",NULL,"Black / Red",259,NULL
363,Asus,GTX670-DC2-2GD5,"GeForce GTX 670","{'total': 2000000000}","{'cycles': 915000000}",NULL,"Black / Red",271,NULL
364,Asus,GTX670-DC2-4GD5,"GeForce GTX 670","{'total': 4000000000}","{'cycles': 915000000}",NULL,"Black / Red",271,NULL
365,Asus,GTX670-DC2OG-2GD5,"GeForce GTX 670","{'total': 2000000000}","{'cycles': 980000000}",NULL,"Black / Red",271,NULL
366,Asus,GTX670-DC2T-2GD5,"GeForce GTX 670","{'total': 2000000000}","{'cycles': 1058000000}",NULL,"Black / Red",271,NULL
367,Asus,GTX670-DCMOC-2GD5,"GeForce GTX 670","{'total': 2000000000}","{'cycles': 928000000}",NULL,"Black / Red",170,NULL
368,Asus,GTX680-2GD5,"GeForce GTX 680","{'total': 2000000000}","{'cycles': 1006000000}",NULL,"Black / Green",256,NULL
369,Asus,GTX680-DC2-2GD5,"GeForce GTX 680","{'total': 2000000000}","{'cycles': 1006000000}",NULL,"Black / Red",299,NULL
370,Asus,GTX680-DC2-4GD5,"GeForce GTX 680","{'total': 4000000000}","{'cycles': 1006000000}",NULL,"Black / Red",299,NULL
371,Asus,GTX680-DC2O-2GD5,"GeForce GTX 680","{'total': 2000000000}","{'cycles': 1019000000}",NULL,"Black / Red",299,NULL
372,Asus,GTX680-DC2T-2GD5,"GeForce GTX 680","{'total': 2000000000}","{'cycles': 1137000000}",NULL,"Black / Red",299,NULL
373,Asus,GTX690-4GD5,"GeForce GTX 690","{'total': 4000000000}","{'cycles': 915000000}",NULL,"Black / Silver",279,NULL
374,Asus,GTX750-DCSL-2GD5,"GeForce GTX 750","{'total': 2000000000}","{'cycles': 1020000000}","{'cycles': 1085000000}","Black / Red",200,NULL
375,Asus,GTX750-PHOC-1GD5,"GeForce GTX 750","{'total': 1000000000}","{'cycles': 1059000000}","{'cycles': 1137000000}",Black,185,NULL
376,Asus,GTX750-PHOC-2GD5,"GeForce GTX 750","{'total': 2000000000}","{'cycles': 1059000000}","{'cycles': 1137000000}",Black,185,NULL
377,Asus,GTX750TI-OC-2GD5,"GeForce GTX 750 Ti","{'total': 2000000000}","{'cycles': 1072000000}","{'cycles': 1150000000}","Black / Red",217,NULL
378,Asus,GTX750TI-PH-2GD5,"GeForce GTX 750 Ti","{'total': 2000000000}","{'cycles': 1020000000}","{'cycles': 1085000000}",Black,182,NULL
